# Acidity Function for H2SO4 in Acetic Acid
# from "The Acidity Scale in Glacial Acetic Acid. I. Sulfuric Acid Solutions. −6<𝐻0<0."
#       Norris F. Hall and Willard F. Spengeman, J. Am. Chem. Soc., 1940, 62, 2487-2492. 
#       https://doi.org/10.1021/ja01866a062
#
#
%H2SO4,    H0,      indicator,                                 indicator_pKa
0.031,     0.09,     "4-chloro-2-nitroaniline",                -0.91
0.050,    -0.14,     "4-chloro-2-nitroaniline",                -0.91
0.097,    -0.49,     "4-chloro-2-nitroaniline",                -0.91
0.193,    -0.76,     "4-chloro-2-nitroaniline",                -0.91
0.385,    -1.09,     "4-chloro-2-nitroaniline",                -0.91
0.756,    -1.52,     "4-chloro-2-nitroaniline",                -0.91
1.50,     -1.82,     "4-chloro-2-nitroaniline",                -0.91
2.23,     -1.93,     "4-chloro-2-nitroaniline",                -0.91
2.52,     -2.17,     "4-chloro-2-nitroaniline",                -0.91
3.35,     -2.27,     "4-chloro-2-nitroaniline",                -0.91
3.91,     -2.36,     "4-chloro-2-nitroaniline",                -0.91
4.00,     -2.45,     "4-chloro-2-nitroaniline",                -0.91
5.89,     -2.65,     "4-chloro-2-nitroaniline",                -0.91
7.07,     -2.54,     "4-chloro-2-nitroaniline",                -0.91
7.77,     -2.71,     "4-chloro-2-nitroaniline",                -0.91
9.14,     -2.92,     "4-chloro-2-nitroaniline",                -0.91
13.96,    -3.16,     "4-chloro-2-nitroaniline",                -0.91
15.30,    -3.21,     "2,4-dichloro-6-nitroaniline",            -3.67
17.98,    -3.51,     "2,4-dichloro-6-nitroaniline",            -3.67
20.19,    -3.64,     "2,4-dichloro-6-nitroaniline",            -3.67
21.74,    -3.76,     "2,4-dichloro-6-nitroaniline",            -3.67
24.68,    -3.97,     "2,4-dichloro-6-nitroaniline",            -3.67
26.12,    -4.09,     "2,4-dichloro-6-nitroaniline",            -3.67
26.31,    -4.02,     "2,4-dichloro-6-nitroaniline",            -3.67
27.60,    -4.12,     "2,4-dichloro-6-nitroaniline",            -3.67
27.63,    -4.10,     "2,4-dichloro-6-nitroaniline",            -3.67
31.34,    -4.42,     "2,4-dichloro-6-nitroaniline",            -3.67
32.70,    -4.64,     "2,4-dichloro-6-nitroaniline",            -3.67
36.64,    -4.86,     "2,4-dichloro-6-nitroaniline",            -3.67
40.06,    -5.13,     "2,4-dichloro-6-nitroaniline",            -3.67
43.45,    -5.46,     "2,4-dichloro-6-nitroaniline",            -3.67
23.37,    -3.79,     "2,6-dinitro-4-methylaniline",            -4.45
24.20,    -3.80,     "2,6-dinitro-4-methylaniline",            -4.45
25.08,    -3.85,     "2,6-dinitro-4-methylaniline",            -4.45
25.97,    -4.17,     "2,6-dinitro-4-methylaniline",            -4.45
26.36,    -3.95,     "2,6-dinitro-4-methylaniline",            -4.45
26.58,    -4.05,     "2,6-dinitro-4-methylaniline",            -4.45
28.13,    -4.28,     "2,6-dinitro-4-methylaniline",            -4.45
31.75,    -4.53,     "2,6-dinitro-4-methylaniline",            -4.45
32.49,    -4.57,     "2,6-dinitro-4-methylaniline",            -4.45
35.24,    -4.71,     "2,6-dinitro-4-methylaniline",            -4.45
36.08,    -4.75,     "2,6-dinitro-4-methylaniline",            -4.45
38.52,    -4.99,     "2,6-dinitro-4-methylaniline",            -4.45
40.68,    -5.07,     "2,6-dinitro-4-methylaniline",            -4.45
43.23,    -5.35,     "2,6-dinitro-4-methylaniline",            -4.45
46.04,    -5.64,     "2,6-dinitro-4-methylaniline",            -4.45
48.94,    -5.91,     "2,6-dinitro-4-methylaniline",            -4.45
52.45,    -6.03,     "2,6-dinitro-4-methylaniline",            -4.45
35.96,    -4.65,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
36.32,    -4.70,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
36.44,    -4.82,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
37.01,    -4.84,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
38.00,    -4.95,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
38.82,    -5.05,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
39.67,    -5.11,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
39.90,    -5.15,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
40.90,    -5.30,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
41.45,    -5.33,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
43.71,    -5.57,     "N,N-Dimethyl-2,3,6-trinitroaniline",     -4.73
0.030,     0.05,     "2-nitroaniline",                         -0.17
0.055,    -0.30,     "2-nitroaniline",                         -0.17
0.090,    -0.60,     "2-nitroaniline",                         -0.17
